




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (6138)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (expected)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (over/under)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (fold Enrichment)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (raw P-value)	H3K27ac_MCF-7.intersect_with_G4.genes_uniq.txt (FDR)
mitotic nuclear membrane reassembly (GO:0007084)	51	31	15.20	+	2.04	2.32E-03	4.98E-02
positive regulation of telomere maintenance (GO:0032206)	51	31	15.20	+	2.04	2.32E-03	4.97E-02
mitotic nuclear membrane organization (GO:0101024)	51	31	15.20	+	2.04	2.32E-03	4.97E-02
neutrophil migration (GO:1990266)	87	10	25.93	-	.39	2.25E-03	4.85E-02
tRNA aminoacylation for protein translation (GO:0006418)	46	29	13.71	+	2.12	2.23E-03	4.82E-02
negative regulation of response to endoplasmic reticulum stress (GO:1903573)	46	29	13.71	+	2.12	2.23E-03	4.82E-02
regulation of plasma membrane bounded cell projection assembly (GO:0120032)	187	84	55.73	+	1.51	2.23E-03	4.81E-02
cellular response to external stimulus (GO:0071496)	344	140	102.52	+	1.37	2.21E-03	4.80E-02
positive regulation of cell death (GO:0010942)	638	240	190.15	+	1.26	2.19E-03	4.76E-02
immune system process (GO:0002376)	2903	771	865.19	-	.89	2.19E-03	4.75E-02
pre-replicative complex assembly (GO:0036388)	66	38	19.67	+	1.93	2.15E-03	4.68E-02
regulation of mitotic sister chromatid separation (GO:0010965)	66	38	19.67	+	1.93	2.15E-03	4.67E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	42	22.95	+	1.83	2.11E-03	4.61E-02
cytoskeleton-dependent cytokinesis (GO:0061640)	96	50	28.61	+	1.75	2.07E-03	4.51E-02
import into nucleus (GO:0051170)	117	58	34.87	+	1.66	2.06E-03	4.51E-02
positive regulation of apoptotic process (GO:0043065)	560	214	166.90	+	1.28	2.06E-03	4.50E-02
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway (GO:0051482)	34	1	10.13	-	.10	2.02E-03	4.43E-02
cell killing (GO:0001906)	126	18	37.55	-	.48	1.96E-03	4.31E-02
RNA destabilization (GO:0050779)	94	49	28.02	+	1.75	1.92E-03	4.22E-02
neutrophil activation involved in immune response (GO:0002283)	488	190	145.44	+	1.31	1.92E-03	4.22E-02
mitochondrial respiratory chain complex assembly (GO:0033108)	101	52	30.10	+	1.73	1.91E-03	4.21E-02
base-excision repair (GO:0006284)	59	35	17.58	+	1.99	1.91E-03	4.21E-02
negative regulation of telomere maintenance via telomere lengthening (GO:1904357)	28	21	8.34	+	2.52	1.89E-03	4.19E-02
